Pot1,Pot2,PWM,Direccion
496,858,50,Antihorario
467,858,50,Antihorario
441,858,50,Antihorario
418,845,50,Antihorario
405,804,50,Antihorario
387,768,50,Antihorario
386,733,50,Antihorario
386,698,60,Antihorario
388,653,51,Antihorario
377,614,50,Antihorario
353,578,50,Antihorario
320,545,50,Antihorario
281,509,50,Antihorario
236,476,50,Antihorario
187,443,50,Antihorario
135,410,53,Antihorario
76,375,58,Antihorario
22,326,59,Antihorario
0,275,53,Antihorario
2,232,50,Antihorario
0,196,50,Antihorario
0,161,50,Antihorario
0,125,50,Antihorario
0,89,50,Antihorario
0,53,50,Antihorario
0,14,50,Antihorario
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
0,0,0,Detenido
1,0,0,Detenido
34,0,50,Horario
68,0,50,Horario
103,0,50,Horario
140,0,50,Horario
177,0,50,Horario
216,21,50,Horario
254,56,50,Horario
290,89,50,Horario
321,122,50,Horario
343,155,50,Horario
349,190,50,Horario
349,220,50,Horario
348,251,50,Horario
349,284,50,Horario
349,314,50,Horario
349,348,0,Detenido
349,352,0,Detenido
349,352,0,Detenido
349,352,0,Detenido
349,352,0,Detenido
349,352,0,Detenido
349,352,0,Detenido
348,352,0,Detenido
349,352,0,Detenido
349,352,0,Detenido
349,351,0,Detenido
349,352,0,Detenido
349,352,0,Detenido
353,351,0,Detenido
391,352,50,Horario
443,371,50,Horario
494,400,50,Horario
542,429,50,Horario
583,457,50,Horario
621,488,50,Horario
652,519,50,Horario
676,550,50,Horario
689,580,50,Horario
691,613,50,Horario
692,642,50,Horario
692,673,50,Horario
691,704,50,Antihorario
689,707,50,Antihorario
691,707,50,Antihorario
691,695,0,Detenido
691,689,0,Detenido
691,689,0,Detenido
692,689,0,Detenido
691,689,0,Detenido
691,689,0,Detenido
691,689,0,Detenido
691,689,0,Detenido
691,689,0,Detenido
692,689,0,Detenido
691,688,0,Detenido
692,688,0,Detenido
691,689,0,Detenido
692,689,0,Detenido
702,688,50,Horario
733,689,50,Horario
778,690,50,Horario
824,693,50,Horario
870,723,50,Horario
912,753,50,Horario
951,787,50,Horario
971,820,50,Horario
963,849,50,Horario
961,877,50,Horario
959,913,50,Horario
961,950,50,Horario
962,987,50,Antihorario
953,980,50,Antihorario
971,997,50,Antihorario
968,989,50,Antihorario
965,944,50,Horario
952,928,50,Horario
963,938,50,Horario
962,938,50,Horario
963,971,0,Detenido
964,984,50,Antihorario
967,987,50,Antihorario
965,987,50,Antihorario
967,975,0,Detenido
963,960,0,Detenido
964,962,0,Detenido
965,962,0,Detenido
965,962,0,Detenido
965,962,0,Detenido
965,962,0,Detenido
965,962,0,Detenido
965,962,0,Detenido
965,962,0,Detenido
965,963,0,Detenido
965,962,0,Detenido
966,962,0,Detenido
965,962,0,Detenido
965,963,0,Detenido
946,963,50,Antihorario
885,919,50,Antihorario
830,880,50,Antihorario
797,865,50,Antihorario
738,827,50,Antihorario
673,786,50,Antihorario
629,753,50,Antihorario
610,717,50,Antihorario
610,683,50,Antihorario
610,649,50,Antihorario
610,614,0,Detenido
599,599,0,Detenido
607,599,0,Detenido
599,599,0,Detenido
600,599,0,Detenido
600,599,0,Detenido
600,600,0,Detenido
600,599,0,Detenido
600,600,0,Detenido
600,599,0,Detenido
600,599,0,Detenido
600,599,0,Detenido
600,599,0,Detenido
600,600,0,Detenido
602,601,0,Detenido
610,602,0,Detenido
614,606,0,Detenido
617,601,50,Horario
619,606,50,Horario
615,607,0,Detenido
615,607,0,Detenido
614,607,0,Detenido
612,607,0,Detenido
614,607,0,Detenido
605,547,50,Horario
607,478,50,Horario
606,477,50,Horario
605,477,50,Horario
606,477,50,Horario
607,484,50,Horario
601,514,50,Horario
584,544,50,Horario
559,574,50,Antihorario
527,575,50,Antihorario
479,576,50,Antihorario
425,565,50,Antihorario
386,530,50,Antihorario
359,497,50,Antihorario
356,462,50,Antihorario
356,430,50,Antihorario
356,400,50,Antihorario
355,366,50,Antihorario
356,329,50,Horario
355,328,50,Horario
355,330,50,Horario
356,327,50,Horario
355,355,0,Detenido
356,362,0,Detenido
355,362,0,Detenido
356,362,0,Detenido
356,362,0,Detenido
356,362,0,Detenido
355,363,0,Detenido
356,362,0,Detenido
357,362,0,Detenido
355,362,0,Detenido
355,362,0,Detenido
355,363,0,Detenido
355,363,0,Detenido
355,363,0,Detenido
339,363,50,Antihorario
312,362,50,Antihorario
276,362,50,Antihorario
235,352,50,Antihorario
207,313,50,Antihorario
200,278,50,Antihorario
201,244,50,Antihorario
201,209,0,Detenido
200,199,0,Detenido
201,198,0,Detenido
201,199,0,Detenido
201,198,0,Detenido
201,199,0,Detenido
201,198,0,Detenido
200,198,0,Detenido
201,198,0,Detenido
201,198,0,Detenido
201,198,0,Detenido
201,198,0,Detenido
200,198,0,Detenido
200,199,0,Detenido
201,199,0,Detenido
201,198,0,Detenido
201,198,0,Detenido
201,199,0,Detenido
200,198,0,Detenido
201,198,0,Detenido
